iteration,Model,AUC,Winner
221,LOGIT,0.6590693257359924,False
222,STRUCT,0.8120915032679739,True
222,HYBRID,0.5,False
222,LOGIT,0.43366013071895426,False
223,STRUCT,0.8275362318840579,True
223,HYBRID,0.5,False
223,LOGIT,0.7094202898550726,False
224,STRUCT,0.7864942528735632,True
224,HYBRID,0.5,False
224,LOGIT,0.47586206896551725,False
225,STRUCT,0.8408045977011493,True
225,HYBRID,0.5,False
225,LOGIT,0.5919540229885059,False
226,STRUCT,0.6873706004140786,False
226,HYBRID,0.5,False
226,LOGIT,0.6940993788819876,True
227,STRUCT,0.8165775401069518,True
227,HYBRID,0.5,False
227,LOGIT,0.5133689839572193,False
228,STRUCT,0.7437499999999999,True
228,HYBRID,0.5,False
228,LOGIT,0.5375000000000001,False
229,STRUCT,0.7421296296296296,True
229,HYBRID,0.5,False
229,LOGIT,0.4064814814814815,False
230,STRUCT,0.6764007597340931,True
230,HYBRID,0.5,False
230,LOGIT,0.5738366571699904,False
231,STRUCT,0.8411764705882353,True
231,HYBRID,0.5,False
231,LOGIT,0.5548128342245989,False
232,STRUCT,0.872192513368984,True
232,HYBRID,0.5,False
232,LOGIT,0.5497326203208556,False
233,STRUCT,0.8853820598006644,True
233,HYBRID,0.5,False
233,LOGIT,0.5703211517165006,False
234,STRUCT,0.8095238095238095,True
234,HYBRID,0.5,False
234,LOGIT,0.6935817805383023,False
235,STRUCT,0.922203765227021,True
235,HYBRID,0.5,False
235,LOGIT,0.5584163898117386,False
236,STRUCT,0.7929606625258799,True
236,HYBRID,0.5,False
236,LOGIT,0.6366459627329193,False
237,STRUCT,0.8085648148148148,True
237,HYBRID,0.5,False
237,LOGIT,0.6599537037037038,False
238,STRUCT,0.8717592592592593,True
238,HYBRID,0.5,False
238,LOGIT,0.5333333333333333,False
239,STRUCT,0.8117073170731708,True
239,HYBRID,0.5,False
239,LOGIT,0.5229268292682927,False
240,STRUCT,0.8409266409266409,True
240,HYBRID,0.5,False
240,LOGIT,0.42123552123552127,False
241,STRUCT,0.7857142857142857,True
241,HYBRID,0.5,False
241,LOGIT,0.5996677740863787,False
242,STRUCT,0.7267241379310345,True
242,HYBRID,0.5,False
242,LOGIT,0.5905172413793103,False
243,STRUCT,0.8473084886128365,True
243,HYBRID,0.5,False
243,LOGIT,0.5191511387163561,False
244,STRUCT,0.8564560439560439,True
244,HYBRID,0.5,False
244,LOGIT,0.5728021978021978,False
245,STRUCT,0.7740740740740741,True
245,HYBRID,0.5,False
245,LOGIT,0.5300925925925926,False
246,STRUCT,0.8189368770764119,True
246,HYBRID,0.5,False
246,LOGIT,0.6735880398671096,False
247,STRUCT,0.7839506172839507,True
247,HYBRID,0.5,False
247,LOGIT,0.6339031339031339,False
248,STRUCT,0.8618479221927499,True
248,HYBRID,0.5,False
248,LOGIT,0.6160477453580901,False
249,STRUCT,0.8842746400885936,True
249,HYBRID,0.5,False
249,LOGIT,0.5454042081949059,False
250,STRUCT,0.7331707317073171,True
250,HYBRID,0.5,False
250,LOGIT,0.5248780487804878,False
251,STRUCT,0.8424043062200958,True
251,HYBRID,0.5,False
251,LOGIT,0.49820574162679426,False
252,STRUCT,0.7681034482758621,True
252,HYBRID,0.5,False
252,LOGIT,0.5502873563218391,False
253,STRUCT,0.77659069325736,True
253,HYBRID,0.5,False
253,LOGIT,0.5273029439696106,False
254,STRUCT,0.8164451827242525,True
254,HYBRID,0.5,False
254,LOGIT,0.6010520487264673,False
255,STRUCT,0.8835851648351648,True
255,HYBRID,0.5,False
255,LOGIT,0.5669642857142857,False
256,STRUCT,0.7914438502673796,True
256,HYBRID,0.5,False
256,LOGIT,0.5187165775401069,False
257,STRUCT,0.8187444739168878,True
257,HYBRID,0.5,False
257,LOGIT,0.5397877984084881,False
258,STRUCT,0.8,True
258,HYBRID,0.5,False
258,LOGIT,0.40162037037037035,False
259,STRUCT,0.8580213903743316,True
259,HYBRID,0.5,False
259,LOGIT,0.5612299465240642,False
260,STRUCT,0.8767166042446941,True
260,HYBRID,0.5,False
260,LOGIT,0.6407615480649188,False
261,STRUCT,0.806935817805383,True
261,HYBRID,0.5,False
261,LOGIT,0.6599378881987579,False
262,STRUCT,0.8540521978021978,True
262,HYBRID,0.5,False
262,LOGIT,0.7029532967032968,False
263,STRUCT,0.8649068322981366,True
263,HYBRID,0.5,False
263,LOGIT,0.6532091097308489,False
264,STRUCT,0.8467914438502674,True
264,HYBRID,0.5,False
264,LOGIT,0.5368983957219252,False
265,STRUCT,0.8657407407407407,True
265,HYBRID,0.5,False
265,LOGIT,0.6907407407407408,False
266,STRUCT,0.8742197253433209,True
266,HYBRID,0.5,False
266,LOGIT,0.47409488139825223,False
267,STRUCT,0.8568965517241379,True
267,HYBRID,0.5,False
267,LOGIT,0.7244252873563218,False
268,STRUCT,0.9160919540229885,True
268,HYBRID,0.5,False
268,LOGIT,0.5436781609195402,False
269,STRUCT,0.7244252873563218,True
269,HYBRID,0.5,False
269,LOGIT,0.4405172413793103,False
